u,Intercept,Stock_Index_Return,Three_Month_Rate_After_Demean,DTD_Level,DTD_Trend,Liquidity_Level_Nonfinancial,Liquidity_Trend_NonFinancial,NI_Over_TA_Level,NI_Over_TA_Trend,Size_Level,Size_Trend,M_Over_B,SIGMA,Liquidity_Level_Financial,Liquidity_Trend_Financial,DTD_Median_Fin,DTD_Median_Nfin,dummy_for_NM
27,-2.8947189230077237,0.1975636371915345,2.2490580459630873,-0.0016798467736836792,-0.0002545485631366278,-0.16411346797386464,-0.27206250984556746,-1.4912177800401274,-1.4517528291411774,-0.12946395485627443,-0.5028805154654512,-0.034968036191255984,1.9005629893742166,-0.002207975003534754,0.18626229441558323,-0.012804982330585754,-0.016933544968687125,0.0
28,-2.8937524866780713,0.20006631431107508,2.2653945226802024,-0.0017327106682369297,-0.0002574460819054638,-0.1638977330314116,-0.27164627894804894,-1.490998169821205,-1.4489063096602515,-0.12952309912597346,-0.5039221866124021,-0.03493208721706129,1.89730428888439,-0.0021941708688411237,0.18516688111839555,-0.012916578301070838,-0.01692707607860184,0.0
29,-2.8927878266024507,0.2025585953798038,2.2817113081684095,-0.001785539830334034,-0.0002603354348315751,-0.16368220537294056,-0.2712308148660779,-1.4907785798851587,-1.4460658946423954,-0.12958210961476174,-0.5049556827636233,-0.03489615429803179,1.894053065430945,-0.002180380743248143,0.18407693356715926,-0.013027709449281673,-0.016920610471753385,0.0
30,-2.891824939735873,0.2050405155156825,2.298008422064833,-0.0018383342791859734,-0.00026321664078812984,-0.16346688481056457,-0.27081611636469,-1.4905590102301458,-1.443231577964541,-0.12964098650365483,-0.5059810445749534,-0.0348602374277406,1.8908092997420372,-0.0021666046145013343,0.18299242540772515,-0.01313837732469554,-0.01691414814627728,0.0
31,-2.8908638230384445,0.20751210972514633,2.3142858839885525,-0.0018910940339900153,-0.00026608971860721394,-0.1632517711565654,-0.27040218220931317,-1.4903394608545206,-1.4404033534402574,-0.1296997299734487,-0.5069983125205754,-0.03482433659976136,1.8875729725986015,-0.0021528424703560834,0.1819133304114024,-0.013248583471951094,-0.016907689100310097,0.0
32,-2.889904473475352,0.20997341290345484,2.3305437135394795,-0.0019438191139349546,-0.00026895468707992227,-0.16303686422338887,-0.2699890111657753,-1.490119931756478,-1.4375812148204843,-0.12975834020472193,-0.5080075268937876,-0.03478845180767338,1.88434406483422,-0.002139094298578033,0.1808396224743651,-0.013358329430863444,-0.016901233331989507,0.0
33,-2.888946888016857,0.21242445983502523,2.346781930299829,-0.00199650953819875,-0.0002718115649564235,-0.16282216382365006,-0.26957660200031885,-1.4899004229342858,-1.434765155794265,-0.12981681737783352,-0.509008727807784,-0.03475258304505545,1.8811225573349595,-0.002125360086943034,0.1797712756170612,-0.01346761673643883,-0.01689478083945436,0.0
34,-2.887991063638293,0.21486528519377912,2.363000553832667,-0.002049165325949693,-0.00027466037094606556,-0.16260766977012756,-0.26916495347960856,-1.4896809343862787,-1.4319551699894708,-0.1298751616729281,-0.510001955196427,-0.03471673030548963,1.8779084310392287,-0.0021116398232373704,0.17870826398362455,-0.013576446918888645,-0.016888331620844608,0.0
35,-2.8870369973200454,0.21729592354348848,2.3791996036830176,-0.0021017864963448966,-0.000277501123717472,-0.16239338187576777,-0.26875406437074484,-1.4894614661107441,-1.4291512509735276,-0.12993337326993057,-0.5109872488150065,-0.03468089358256139,1.8747016669376266,-0.002097933495257116,0.17765056184129,-0.013684821503644777,-0.016881885674301204,0.0
36,-2.8860846860475533,0.219716409338106,2.395379099377734,-0.002154373068533735,-0.0002803338418986081,-0.16217929995368324,-0.26834393344127316,-1.4892420181058383,-1.4263533922541245,-0.1299914523485497,-0.5119646482410137,-0.03464507286985722,1.8715022460727988,-0.0020842410908089464,0.17659814357981052,-0.013792742011373286,-0.016875442997966447,0.0
