u,Intercept,Stock_Index_Return,Three_Month_Rate_After_Demean,DTD_Level,DTD_Trend,Liquidity_Level_Nonfinancial,Liquidity_Trend_NonFinancial,NI_Over_TA_Level,NI_Over_TA_Trend,Size_Level,Size_Trend,M_Over_B,SIGMA,Liquidity_Level_Financial,Liquidity_Trend_Financial,DTD_Median_Fin,DTD_Median_Nfin,dummy_for_NM
34,-3.272535793100802,0.3417363905897783,-14.759809882872062,-1.506470027197188,-1.0558962247981538,-0.03132114483602815,-0.4700164187434257,-1.8481021526319228,-1.0677780312141782,0.13081436280021672,-1.543201006581682,-0.05660062229299712,-0.37410607106082017,-0.00031722776682987884,-0.02286696856312032,-0.17445276941185345,0.06950584477885668,-1.0590856047981678
35,-3.2665274837210134,0.343321327627925,-14.637142651075084,-1.5043981030116897,-1.0547595576612288,-0.030852465238895822,-0.4693214810007822,-1.8490487711233086,-1.067499594959213,0.13077246431003847,-1.5406203994639693,-0.05636906338586664,-0.37908885247825286,-0.00031749232848962076,-0.02292073235556174,-0.17323217400737237,0.07049996490583896,-1.058661289920901
36,-3.2605850294446492,0.34490463020315026,-14.514999396760174,-1.502330007324009,-1.0536244663047531,-0.030392179387279172,-0.4686148358618215,-1.8499948650432647,-1.0672212496115379,0.1307305763582036,-1.5380436476190915,-0.0561382629367973,-0.38404197498471293,-0.0003177568302000753,-0.022974474099536728,-0.17201681408722333,0.07149084673250522,-1.0582372489883083
37,-3.254707957126936,0.3464862997009551,-14.393378085529422,-1.5002657321517943,-1.052490948420013,-0.029940129145051217,-0.467896754317128,-1.8509404346113465,-1.066942995139069,0.13068869894218751,-1.5354707454291672,-0.05590821856879202,-0.3889655804975416,-0.00031802127197232474,-0.023028193802519047,-0.17080666889758206,0.07247849893321255,-1.0578134818073746
38,-3.248895796694606,0.34806633750580346,-14.272276690630562,-1.498205269530475,-1.0513590017015044,-0.02949615941787139,-0.46716750303623666,-1.8518854800468305,-1.0666648315097493,0.13064683205946354,-1.5329016872844166,-0.05567892791218324,-0.39385981029714184,-0.0003182856538175334,-0.02308189147197373,-0.16960171776465988,0.0734629301604121,-1.0573899881852222
39,-3.2431480811267956,0.3496447450010561,-14.151693192928757,-1.4961486115132172,-1.0502286238469254,-0.029060118094063274,-0.4664273444295322,-1.852830001569108,-1.0663867586915294,0.13060497570750418,-1.5303364675831603,-0.05545038860461023,-0.39872480502975377,-0.0003185499757466644,-0.023135567115370244,-0.1684019400944002,0.07444414904470667,-1.0569667679291224
40,-3.2374643464360044,0.35122152356893516,-14.03162558087825,-1.4940957501708805,-1.0490998125571733,-0.028631855986648424,-0.46567653670930315,-1.8537739993972246,-1.0661087766523605,0.1305631298837866,-1.5277750807318033,-0.05522259829099688,-0.40356070471024014,-0.000318814237770905,-0.02318922074017326,-0.167207315372175,0.07542216419490888,-1.0565438208464797
41,-3.231844131649192,0.3527966745905439,-13.912071850494366,-1.4920466775919825,-1.0479725655363432,-0.02821122677651346,-0.4649153339499616,-1.8547174737504677,-1.0658308853602252,0.13052129458578357,-1.525217521144829,-0.054995554623529494,-0.40836764872481673,-0.0003190784399013127,-0.023242852353839473,-0.16601782316248237,0.07639698419808957,-1.0561211467448455
42,-3.226286978789,0.35437019944594605,-13.793030005325432,-1.4900013858826522,-1.0468468804917248,-0.027798086956688145,-0.46414398614743785,-1.8556604248476427,-1.0655530847831058,0.13047946981097344,-1.5226637832447771,-0.054769255261634356,-0.4131457758338189,-0.00031934258214902296,-0.02329646196383655,-0.16483344310864378,0.07736861761963208,-1.055698745431912
43,-3.220792432855069,0.3559420995140496,-13.674498056425087,-1.487959867166591,-1.0457227551337964,-0.02739229577771279,-0.4633627392777652,-1.8566028529078489,-1.0652753748889916,0.13043765555683148,-1.5201138614622418,-0.0545436978719558,-0.41789522417442526,-0.00031960666452505033,-0.023350049577619828,-0.1636541549325069,0.07833707300328767,-1.0552766167155114
44,-3.215360041805476,0.357512376172666,-13.556474022324185,-1.4859221135850325,-1.0446001871762227,-0.026993715194073464,-0.4625718353548597,-1.8575447581498457,-1.0649977556458985,0.1303958518208361,-1.5175677502358556,-0.054318880128333934,-0.4226161312633764,-0.0003198706870405493,-0.023403615202644047,-0.162479938434143,0.07930235887122722,-1.054854760403616
45,-3.2099893565382907,0.35908103079854564,-13.438955929003377,-1.4838881172967018,-1.0434791743358514,-0.02660220981168419,-0.461771512487512,-1.8584861407924627,-1.064720227021836,0.13035405860046287,-1.5150254440122792,-0.054094799711782784,-0.42730863399969693,-0.00032013464970661514,-0.023457158846362885,-0.16131077349155262,0.08026448372409449,-1.0544331763043442
46,-3.2046799308732465,0.36064806476729316,-13.321941809865322,-1.4818578704777743,-1.0423597143327106,-0.02621764683639547,-0.4609620049355962,-1.85942700105439,-1.0644427889848431,0.13031227589319255,-1.5124869372461884,-0.05387145431046812,-0.4319728686673717,-0.00032039855253429415,-0.02351068051622561,-0.16014664006036544,0.0812234560410598,-1.0540118642259502
47,-3.1994313215335097,0.3622134794534162,-13.205429705707381,-1.479831365321836,-1.041241804890004,-0.025839896023509105,-0.46014354316551087,-1.860367339154124,-1.0641654415029607,0.1302705036965022,-1.5099522244002663,-0.053648841619685916,-0.436608970938056,-0.0003206623955346435,-0.02356418021967705,-0.15898751817354784,0.08217928427986973,-1.0535908239768303
48,-3.1942430881275645,0.3637772762303787,-13.08941766469408,-1.477808594039841,-1.0401254437341072,-0.025468829628279434,-0.45931635390485753,-1.8613071553102662,-1.063888184544244,0.13022874200787282,-1.5074212999451857,-0.05342695934184012,-0.44121707587373415,-0.0003209261787187853,-0.023617657964167475,-0.15783338794110538,0.08313197687690654,-1.053170055365525
49,-3.1891147931312345,0.36533945647047283,-12.97390374232996,-1.4757895488600752,-1.0390106285945664,-0.02510432235738188,-0.4584806601963731,-1.862246449741162,-1.0636110180767562,0.13018699082478388,-1.5048941583596043,-0.053205805186421234,-0.4457973179293859,-0.0003211899020977927,-0.023671113757139147,-0.1566842295497921,0.08408154224723349,-1.05274955820071
50,-3.184046001869759,0.36690002154495965,-12.858886001432273,-1.473774222028113,-1.037897357204092,-0.0247462513213295,-0.4576366814511192,-1.8631852226652494,-1.0633339420685723,0.13014525014471662,-1.5023707941301474,-0.052985376869984564,-0.4503498309556387,-0.0003214535656827462,-0.02372454760603298,-0.15554002326281602,0.08502798878465102,-1.052329332291208
51,-3.179036282500043,0.36845897282394646,-12.74436251210399,-1.4717626058067772,-1.036785627298556,-0.024394495987819245,-0.4567846335009439,-1.8641234743007566,-1.063056956487792,0.13010351996515196,-1.4998512017514005,-0.052765672116128405,-0.45487474820141294,-0.00032171716948467994,-0.02377795951828812,-0.15440074941954957,0.08597132486175059,-1.0519093774459771
52,-3.1740852059929607,0.3700163116764855,-12.630331351706733,-1.4697546924760982,-1.0356754366169918,-0.024048938135989552,-0.45592472865022227,-1.865061204865836,-1.062780061302506,0.13006180028357248,-1.4973353757258965,-0.05254668865547272,-0.45937220231654674,-0.0003219807135146896,-0.023831349501336578,-0.15326638843523832,0.08691155882996254,-1.0514896934741156
53,-3.1691923461158034,0.371572039470533,-12.51679060483398,-1.4677504743332785,-1.0345667829015859,-0.023709461811571308,-0.4550571757268882,-1.8659984145785966,-1.0625032564808312,0.1300200910974596,-1.4948233105641038,-0.052328424225637556,-0.46384232535440684,-0.00032224419778387604,-0.023884717562617237,-0.1521369208007131,0.08784869901961019,-1.0510702801848677
54,-3.164357279414818,0.3731261575729329,-12.40373836328423,-1.4657499436926493,-1.033459663897677,-0.023375953282914985,-0.45418218013276246,-1.866935103657056,-1.0622265419908927,0.1299783924042963,-1.492315000784416,-0.052110876571221564,-0.4682852487745058,-0.000322507622303246,-0.023938063709558737,-0.15101232708210077,0.08878275373996372,-1.0506511373876102
55,-3.1595795851978576,0.37467866734943983,-12.291172726034317,-1.4637530928856286,-1.0323540773537523,-0.023048300997876303,-0.45329994389319267,-1.8678712723190305,-1.0619499178008254,0.12993670420156822,-1.489810440913138,-0.051894043443780735,-0.4727011034450932,-0.00032277098708391385,-0.023991387949590548,-0.1498925879205389,0.08971373127928983,-1.0502322648918672
56,-3.1548588455171362,0.37622957016475006,-12.179091799212834,-1.4617599142606883,-1.0312500210214446,-0.022726395541544007,-0.452410665706008,-1.8688069207824984,-1.0616733838787749,0.12989502648675805,-1.4873096254844795,-0.05167792260180718,-0.4770900196457382,-0.0003230342921369478,-0.024044690290140187,-0.14877768403188857,0.0906416399049031,-1.0498136625072987
57,-3.1501946451520793,0.37777886738242045,-12.067493696073644,-1.459770400183308,-1.0301474926555263,-0.022410129594793028,-0.4515145409898027,-1.869742049265135,-1.0613969401929062,0.1298533592573508,-1.4848125490405386,-0.0514625118107077,-0.48145212706990353,-0.0003232975374733765,-0.024097970738630937,-0.14766759620645128,0.09156648786321883,-1.0493953300437024
58,-3.1455865715923133,0.3793265603649489,-11.956376536969376,-1.4577845430359404,-1.0290464900139098,-0.02209939789364683,-0.45061176193155494,-1.8706766579846563,-1.0611205867113853,0.1298117025108334,-1.4823192061312924,-0.05124780884278272,-0.4857875548275028,-0.0003235607231042811,-0.02415122930248621,-0.1465623053086839,0.09248828337980429,-1.0489772673110223
59,-3.141034215020704,0.3808726504737262,-11.845738449325346,-1.455802335217967,-1.0279470108576396,-0.021794097189433204,-0.44970251753358936,-1.8716107471585832,-1.0608443234023968,0.12977005624468965,-1.4798295913145856,-0.05103381147720521,-0.4900964314474612,-0.00032382384904070406,-0.024204465989122424,-0.14546179227691713,0.09340703465943087,-1.0485594741193376
60,-3.136537168296554,0.3824171390690866,-11.735577567613225,-1.4538237691456641,-1.0268490529508936,-0.021494126209717884,-0.4487869936598946,-1.8725443170044238,-1.0605681502341355,0.1297284204564078,-1.4773436991561222,-0.0508205174999997,-0.4943788848802413,-0.00032408691529369187,-0.024257680805958914,-0.14436603812307375,0.0943227498861213,-1.0481419502788663
61,-3.1320950269388677,0.3839600275102526,-11.62589203332487,-1.451848837252161,-1.0257526140609765,-0.021199385620000653,-0.44786537308180246,-1.8734773677396714,-1.0602920671748066,0.129686795143475,-1.474861524229447,-0.05060792470402119,-0.4986350425003887,-0.00032434992187434025,-0.024310873760410308,-0.14327502393238817,0.09523543722320701,-1.0477246955999677
62,-3.127707389109726,0.385501317155348,-11.516679994946431,-1.4498775319874002,-1.0246576919583157,-0.020909777986159218,-0.44693783552303723,-1.8744098995815228,-1.0600160741926268,0.12964518030337915,-1.4723830611159412,-0.05039603088893434,-0.5028650311090342,-0.0003246128687936645,-0.024364044859889078,-0.1421887308631276,0.09614510481337361,-1.0473077098931414
63,-3.1233738555977717,0.38704100936145164,-11.407939607932425,-1.4479098458180988,-1.0235642844164612,-0.02062520773762591,-0.44600455770414493,-1.8753419127473847,-1.0597401712558285,0.129603575933608,-1.4699083044048096,-0.05018483386119253,-0.507068976936409,-0.00032487575606276857,-0.024417194111802702,-0.14110714014631276,0.09705176077871319,-1.0468909929690255
64,-3.119094029801788,0.38857910548450425,-11.299669034679823,-1.4459457712277135,-1.0224723892120784,-0.02034558113128307,-0.4450657133863094,-1.8762734074542788,-1.0594643583326508,0.12956198203165176,-1.4674372486930651,-0.04997433143401726,-0.5112470056443408,-0.00032513858369263523,-0.024470321523563886,-0.14003023308544235,0.09795541322077794,-1.0464745446383945
65,-3.114867517714385,0.3901156068794186,-11.191866444502425,-1.4439853007163936,-1.0213820041249473,-0.020070806216062942,-0.4441214734145644,-1.8772043839193755,-1.0591886353913431,0.1295203985949988,-1.464969888585525,-0.04976452142737725,-0.5153992423287339,-0.0003254013516943368,-0.024523427102573197,-0.1389579910562152,0.0988560702206275,-1.0460583647121655
66,-3.1106939279057624,0.39165051489999314,-11.084530013605246,-1.4420284268009513,-1.0202931269379585,-0.019800792798238282,-0.4431720057604089,-1.8781348423595963,-1.058913002400173,0.1294788256211401,-1.462506218694791,-0.04955540166796784,-0.5195258115220509,-0.00032566406007890683,-0.024576510856235842,-0.13789039550625623,0.09975373983887935,-1.0456424530013921
67,-3.10657287150761,0.39318383089893344,-10.977657925058848,-1.4400751420148177,-1.0192057554371083,-0.019535452407390158,-0.4422174755638354,-1.8790647829919254,-1.0586374593274173,0.12943726310756629,-1.4600462336412467,-0.049346969989190456,-0.5236268371957737,-0.0003259267088574278,-0.024629572791952214,-0.13682742795484182,0.10064843011576237,-1.045226809317271
68,-3.102503962197075,0.3947155562279019,-10.871248368774044,-1.438125438908005,-1.0181198874114976,-0.019274698263039545,-0.44125804517477585,-1.8799942060331258,-1.058362006141359,0.12939571105176817,-1.4575899280530407,-0.04913922423113203,-0.5277024427628558,-0.00032618929804090083,-0.0246826129171202,-0.1357690699926274,0.10154014907116202,-1.0448114334711298
69,-3.0984868161808414,0.3962456922374464,-10.765299541476466,-1.4361793100470681,-1.0170355206533255,-0.019018445241930006,-0.4402938741939769,-1.8809231116999805,-1.0580866428103017,0.12935416945123945,-1.4551372965660752,-0.04893216224054464,-0.531752751080166,-0.00032645182764037606,-0.02473563123913517,-0.13471530328137482,0.10242890470467664,-1.0443963252744428
70,-3.0945210521793003,0.3977742402770521,-10.659809646681367,-1.4342367480150695,-1.0159526529578886,-0.01876660984594834,-0.43932511951330894,-1.881851500209136,-1.057811369302552,0.12931263830347095,-1.4526883338240004,-0.04872578187082488,-0.5357778844509231,-0.00032671429766686525,-0.024788627765389735,-0.1336661095536816,0.10331470499566142,-1.0439814845388193
71,-3.090606291410826,0.3993012016951136,-10.554776894668379,-1.432297745411536,-1.0148712821235755,-0.018519110170670997,-0.43835193535551875,-1.8827793717771617,-1.0575361855864325,0.1292711176059571,-1.4502430344781958,-0.048520080981993785,-0.5397779646271149,-0.0003269767081314636,-0.02484160250327828,-0.13262147061271173,0.10419755790328111,-1.0435669110760044
72,-3.086742157576136,0.40082657783896947,-10.450199502456528,-1.430362294852424,-1.0137914059518665,-0.01827586587452379,-0.43737447331343116,-1.8837067266205374,-1.0572610916302811,0.12922960735619082,-1.4478013931877665,-0.04831505744067637,-0.5437531128119097,-0.00032723905904519197,-0.024894555460186124,-0.13158136833192502,0.1050774713665602,-1.0431526046978867
73,-3.0829282768427584,0.4023503700548439,-10.34607569377923,-1.4284303889700793,-1.0127130222473246,-0.018036798148542987,-0.43639288238860946,-1.8846335649557373,-1.056986087402437,0.1291881075516668,-1.4453634046195247,-0.04811070912008154,-0.5477034496620594,-0.000327501350419,-0.02494748664349985,-0.13054578465481143,0.105954453304433,-1.0427385652164889
