Date,CDS
1999-10-01,38.460129434028644
1999-10-04,36.93212441992839
1999-10-05,38.145445617857334
1999-10-06,39.25958574778524
1999-10-07,41.39792733539441
1999-10-08,43.93910074874554
1999-10-11,40.41357211951307
1999-10-12,39.120345205681346
1999-10-13,36.82142455394782
1999-10-14,35.5799734952368
1999-10-15,32.46837425018342
1999-10-18,32.12593686760492
1999-10-19,32.83392852766458
1999-10-20,32.474174783959384
1999-10-21,32.243538465909104
1999-10-22,32.146300005147395
1999-10-25,32.08822780000339
1999-10-26,31.72699477896538
1999-10-27,32.860550034810686
1999-10-28,34.0292318305757
1999-10-29,30.304584531780293
1999-11-01,29.537063843416746
1999-11-02,29.29757558921261
1999-11-03,29.361274137304264
1999-11-04,29.454945417362474
1999-11-05,29.134100353495434
1999-11-08,29.81822022259094
1999-11-09,30.10819781437858
1999-11-10,31.2505507408122
1999-11-11,30.12914285892493
1999-11-12,29.377111795093473
1999-11-15,27.812782419152285
1999-11-16,28.50834516412608
1999-11-17,30.10167022205247
1999-11-18,31.523306912760425
1999-11-19,31.629539424621548
1999-11-22,32.02669685156033
1999-11-23,30.027511517753705
1999-11-24,30.169819054670985
1999-11-26,30.59168582736071
1999-11-29,29.79785435346527
1999-11-30,30.092397938031425
1999-12-01,29.236458415621325
1999-12-02,30.894216686179632
1999-12-03,31.021131577626072
1999-12-06,30.07169757001621
1999-12-07,29.13805818280114
1999-12-08,29.549708985580033
1999-12-09,30.028848156558862
1999-12-10,31.4510516293341
1999-12-13,31.58426890509304
1999-12-14,31.948077121562704
1999-12-15,31.583100150918355
1999-12-16,32.63568766113138
1999-12-17,34.16360482741322
1999-12-20,33.74566826123918
1999-12-21,34.29209369179216
1999-12-22,34.859631543229405
1999-12-23,33.76637147816407
1999-12-27,32.62420446911957
1999-12-28,32.48628671668026
1999-12-29,33.55243683298547
1999-12-30,33.318294925257426
1999-12-31,33.759405238806124
2000-01-03,34.66493152980273
2000-01-04,32.734141405242944
2000-01-05,31.500420843196455
2000-01-06,30.082736039137814
2000-01-07,30.49068291500379
2000-01-10,28.938983304835
2000-01-11,29.988562704278333
2000-01-12,30.272134561460817
2000-01-13,31.047392841132222
2000-01-14,32.90063883667484
2000-01-18,31.864807503846908
2000-01-19,31.506575960308318
2000-01-20,31.52637145468592
2000-01-21,32.381144693357115
2000-01-24,33.62208052958702
2000-01-25,32.66719741418819
2000-01-26,31.551016583477143
2000-01-27,31.465726112367168
2000-01-28,29.85802231655575
2000-01-31,28.88236165302851
2000-02-01,28.620266049608922
2000-02-02,29.657246682465306
2000-02-03,28.801722426911418
2000-02-04,27.80470493202002
2000-02-07,30.988610706804433
2000-02-08,31.29285142868423
2000-02-09,32.23719776763711
2000-02-10,33.00250899603919
